"","CODE1","n_codes","n_patients"
"1178","2963D",41,28
"1179","3120A",41,24
"1180","4210A",41,22
"1181","5260A",41,36
"1182","5501B",41,38
"1183","5965D",41,34
"1184","6010A",41,33
"1185","6145A",41,38
"1186","6261A",41,40
"1187","7235A",41,38
"1188","8072A",41,38
"1189","0788X",40,40
"1190","2551A",40,21
"1191","2962B",40,26
"1192","2964D",40,15
"1193","3099X",40,29
"1194","3152A",40,16
"1195","3369X",40,15
"1196","5198X",40,23
"1197","5321A",40,35
"1198","5512A",40,37
"1199","5532C",40,32
"1200","5583A",40,29
"1201","5692A",40,38
"1202","6049A",40,31
"1203","6820A",40,40
"1204","6900A",40,34
"1205","7151C",40,32
"1206","7151G",40,34
"1207","7191F",40,38
"1208","7198F",40,37
"1209","7208A",40,17
"1210","7247A",40,37
"1211","7248X",40,34
"1212","7397A",40,30
"1213","7615A",40,37
"1214","8054B",40,23
"1215","8408X",40,36
"1216","9230A",40,38
"1217","9678X",40,30
"1218","9698X",40,37
"1219","0120X",39,21
"1220","1990X",39,13
"1221","2167A",39,35
"1222","2948X",39,19
"1223","3075B",39,18
"1224","3101A",39,14
"1225","5183A",39,20
"1226","5226A",39,39
"1227","5308X",39,31
"1228","5310B",39,31
"1229","5711A",39,29
